AUN,School District,County,Records,Compensation,Net Profits,Dividends & Interest,Miscellaneous Income,Out-of-State Tax Records,Out-of-State Tax Credit,Out-of-State Income (calculated),"Total
Personal
Income","Adjusted
Personal
Income
June 2025"
107654103,Jeannette City SD,Westmoreland,"3,975","$167,073,793","$7,276,147","$3,629,304","$3,668,145",11,"$11,598","$377,785","$181,647,389","$181,269,604"
107654403,Kiski Area SD,Westmoreland,"12,930","$690,674,515","$66,878,945","$33,112,862","$36,414,760",64,"$67,574","$2,201,107","$827,081,082","$824,879,975"
107654903,Ligonier Valley SD,Westmoreland,"6,991","$357,256,252","$57,675,878","$42,890,437","$51,164,437",89,"$178,486","$5,813,876","$508,987,004","$503,173,128"
107655803,Monessen City SD,Westmoreland,"3,208","$130,306,556","$6,756,266","$4,454,751","$3,500,269",15,"$20,565","$669,870","$145,017,842","$144,347,972"
107655903,Mount Pleasant Area SD ,Westmoreland,"8,429","$419,783,676","$47,115,824","$18,051,778","$64,344,343",65,"$178,725","$5,821,661","$549,295,621","$543,473,960"
107656303,New Kensington-Arnold SD,Westmoreland,"7,394","$304,082,615","$16,131,105","$10,247,364","$11,941,773",23,"$33,860","$1,102,932","$342,402,857","$341,299,925"
107656502,Norwin SD,Westmoreland,"19,349","$1,316,085,043","$129,825,428","$58,673,240","$51,741,383",124,"$356,673","$11,618,013","$1,556,325,094","$1,544,707,081"
107657103,Penn-Trafford SD,Westmoreland,"13,309","$954,147,383","$147,073,337","$54,560,932","$50,820,487",114,"$700,052","$22,802,997","$1,206,602,139","$1,183,799,142"
107657503,Southmoreland SD,Westmoreland,"6,734","$332,514,089","$34,172,360","$11,558,115","$14,606,208",30,"$111,884","$3,644,430","$392,850,772","$389,206,342"
107658903,Yough SD ,Westmoreland,"7,178","$359,956,053","$61,118,317","$13,068,788","$17,588,126",36,"$53,659","$1,747,850","$451,731,284","$449,983,434"
119665003,Lackawanna Trail SD,Wyoming,"3,965","$210,210,276","$30,651,501","$9,060,941","$14,128,992",74,"$176,635","$5,753,583","$264,051,710","$258,298,127"
118667503,Tunkhannock Area SD,Wyoming,"8,820","$416,040,422","$52,660,861","$27,699,673","$73,193,892",141,"$198,329","$6,460,228","$569,594,848","$563,134,620"
112671303,Central York SD ,York,"20,391","$1,329,835,186","$150,911,359","$68,318,595","$94,000,181",283,"$486,670","$15,852,443","$1,643,065,321","$1,627,212,878"
112671603,Dallastown Area SD,York,"21,416","$1,426,205,443","$178,095,273","$83,685,880","$108,605,403",313,"$875,650","$28,522,801","$1,796,591,999","$1,768,069,198"
112671803,Dover Area SD,York,"12,686","$692,273,838","$43,259,190","$20,737,945","$21,788,338",99,"$156,152","$5,086,384","$778,059,311","$772,972,927"
112672203,Eastern York SD ,York,"9,592","$560,642,739","$54,313,611","$22,722,639","$41,764,433",88,"$181,602","$5,915,375","$679,443,422","$673,528,047"
112672803,Hanover Public SD,York,"8,384","$371,487,209","$23,315,022","$18,147,621","$12,835,981",55,"$54,263","$1,767,524","$425,785,833","$424,018,309"
112674403,Northeastern York SD,York,"13,129","$818,527,549","$47,344,129","$16,923,929","$22,225,305",88,"$110,632","$3,603,648","$905,020,912","$901,417,264"
115674603,Northern York County SD,York,"12,234","$815,420,393","$127,444,248","$42,852,862","$61,838,631",143,"$329,010","$10,716,938","$1,047,556,134","$1,036,839,196"
112675503,Red Lion Area SD,York,"18,278","$1,075,971,354","$104,865,123","$37,607,455","$46,847,384",215,"$437,601","$14,254,104","$1,265,291,316","$1,251,037,212"
112676203,South Eastern SD,York,"9,867","$649,382,162","$45,953,097","$21,300,451","$26,180,552",272,"$608,745","$19,828,827","$742,816,262","$722,987,435"
112676403,South Western SD,York,"15,034","$951,966,847","$87,459,142","$42,205,769","$63,820,962",212,"$506,779","$16,507,459","$1,145,452,720","$1,128,945,261"
112676503,Southern York County SD,York,"10,899","$756,161,396","$54,136,898","$32,463,517","$32,404,057",205,"$464,754","$15,138,567","$875,165,868","$860,027,301"
112676703,Spring Grove Area SD,York,"14,317","$840,578,248","$80,751,830","$35,073,651","$46,721,023",117,"$240,302","$7,827,427","$1,003,124,752","$995,297,325"
115219002,West Shore SD,York,"30,382","$1,956,397,971","$212,275,761","$113,572,775","$130,565,863",287,"$732,686","$23,865,993","$2,412,812,370","$2,388,946,377"
112678503,West York Area SD,York,"12,018","$627,823,399","$36,289,776","$25,950,573","$22,276,521",83,"$113,788","$3,706,450","$712,340,269","$708,633,819"
112679002,York City SD,York,"17,955","$629,040,101","$26,465,106","$7,559,456","$13,798,282",60,"$77,357","$2,519,772","$676,862,945","$674,343,173"
112679403,York Suburban SD,York,"11,048","$743,032,005","$106,510,575","$58,586,346","$72,979,558",162,"$474,521","$15,456,710","$981,108,484","$965,651,774"
,,,,,,,,,,,,
,,,"5,970,859","$382,715,948,163","$49,096,506,546","$23,861,641,679","$30,574,416,996","140,322","$444,049,163","$14,464,142,114","$486,248,513,384","$471,784,371,270"
